step,t,atom_id,mol_id,x,y,z,pe,h,xlo,xhi,ylo,yhi,zlo,zhi,h_ave
1,23000000,6983,47.0,14.3827,5.70144,14.1535,-6.9684,0.8922,0.0,0.0,0.0,0.0,0.0,0.0,9.189826666666669
1,23000000,3153,22.0,0.846641,3.94332,6.12935,-3.9061,3.9545,0.0,0.0,0.0,0.0,0.0,0.0,6.610922222222222
1,23000000,3152,22.0,0.573941,3.96683,5.83872,-6.8471,1.0136,0.0,0.0,0.0,0.0,0.0,0.0,6.686061971830986
1,23000000,3154,22.0,0.906332,3.57606,6.25702,-8.2494,-0.3888,0.0,0.0,0.0,0.0,0.0,0.0,5.622447058823529
1,23000000,1134,8.0,7.32757,1.07755,5.05246,2.9916,10.8522,0.0,0.0,0.0,0.0,0.0,0.0,8.421763492063493
1,23000000,7420,50.0,9.628,2.2234,7.54511,-4.6535,3.2071,0.0,0.0,0.0,0.0,0.0,0.0,8.438691428571428
1,23000000,1138,8.0,6.23089,0.446695,4.63752,-3.912,3.9486,0.0,0.0,0.0,0.0,0.0,0.0,6.91864193548387
1,23000000,7423,50.0,10.2196,2.06988,8.02996,-3.2848,4.5758,0.0,0.0,0.0,0.0,0.0,0.0,9.47740806451613
1,23000000,1135,8.0,7.07683,0.768258,5.07614,-5.4028,2.4578,0.0,0.0,0.0,0.0,0.0,0.0,8.11583432835821
1,23000000,7428,50.0,11.7822,1.82272,8.53887,-1.0581,6.8025,0.0,0.0,0.0,0.0,0.0,0.0,10.276114285714288
1,23000000,7422,50.0,9.90753,1.83485,7.97224,1.6795,9.5401,0.0,0.0,0.0,0.0,0.0,0.0,9.304122058823529
1,23000000,3628,25.0,13.9599,3.85201,5.16369,-1.1986,6.6621,0.0,0.0,0.0,0.0,0.0,0.0,8.979098734177217
1,23000000,7421,50.0,9.57247,2.03964,7.88128,0.1921,8.0527,0.0,0.0,0.0,0.0,0.0,0.0,9.242973913043476
1,23000000,7257,49.0,2.37239,3.67939,2.29286,4.181,12.0416,0.0,0.0,0.0,0.0,0.0,0.0,8.639154054054055
1,23000000,1126,8.0,7.26002,2.2905,3.73446,4.7215,12.5821,0.0,0.0,0.0,0.0,0.0,0.0,8.689897402597401
1,23000000,7286,49.0,12.3966,6.58901,15.3404,-0.8962,6.9644,0.0,0.0,0.0,0.0,0.0,0.0,4.6894
1,23000000,1127,8.0,7.54016,2.31529,4.02331,-0.9505,6.9101,0.0,0.0,0.0,0.0,0.0,0.0,8.410546575342467
1,23000000,7418,50.0,9.38664,2.63682,7.0943,-7.3666,0.494,0.0,0.0,0.0,0.0,0.0,0.0,8.32835070422535
1,23000000,1129,8.0,7.64413,2.37329,4.66471,2.9636,10.8242,0.0,0.0,0.0,0.0,0.0,0.0,8.052650000000002
1,23000000,1131,8.0,7.25894,2.07629,5.08693,4.3156,12.1763,0.0,0.0,0.0,0.0,0.0,0.0,9.092557971014495
1,23000000,1130,8.0,7.47011,2.39867,5.02039,2.8211,10.6818,0.0,0.0,0.0,0.0,0.0,0.0,8.910788311688314
1,23000000,1128,8.0,7.40708,2.25339,4.38989,5.5466,13.4072,0.0,0.0,0.0,0.0,0.0,0.0,8.306567567567566
1,23000000,1133,8.0,7.2031,1.42189,5.19173,3.8563,11.7169,0.0,0.0,0.0,0.0,0.0,0.0,8.691804838709677
1,23000000,1132,8.0,7.45046,1.73699,5.16248,12.992,20.8526,0.0,0.0,0.0,0.0,0.0,0.0,8.538974242424244
1,23000000,750,5.0,14.6754,12.3192,3.53528,-9.4426,-1.582,0.0,0.0,0.0,0.0,0.0,0.0,4.64132923076923
1,23000000,4567,31.0,12.1606,2.18483,3.13833,1.9878,9.8484,0.0,0.0,0.0,0.0,0.0,0.0,8.733628571428568
1,23000000,1125,8.0,7.35167,2.34485,3.35804,5.366,13.2266,0.0,0.0,0.0,0.0,0.0,0.0,8.562350724637678
1,23000000,7242,49.0,5.19335,1.13379,3.9036,1.2663,9.1269,0.0,0.0,0.0,0.0,0.0,0.0,8.261272463768115
1,23000000,3625,25.0,14.918,3.99933,5.43421,-4.4303,3.4303,0.0,0.0,0.0,0.0,0.0,0.0,7.162054929577465
1,23000000,3626,25.0,14.5667,4.05958,5.2859,-6.519,1.3417,0.0,0.0,0.0,0.0,0.0,0.0,8.46624794520548
