step,t,atom_id,mol_id,x,y,z,pe,h,xlo,xhi,ylo,yhi,zlo,zhi
0,22990000,8545,57.0,13.7026,5.08967,9.17971,-4.3748,0.2863,0,0,0,0,0,0
0,22990000,2857,20.0,11.0434,15.1824,7.48779,5.6966,10.3576,0,0,0,0,0,0
0,22990000,8549,57.0,12.9613,5.7096,8.33511,-8.9894,-4.3284,0,0,0,0,0,0
0,22990000,769,6.0,11.3862,13.4477,8.12525,0.0434,4.7045,0,0,0,0,0,0
0,22990000,8550,57.0,12.9193,6.05208,8.14289,-16.1716,-11.5106,0,0,0,0,0,0
0,22990000,2858,20.0,11.1878,14.8555,7.62522,9.1846,13.8457,0,0,0,0,0,0
0,22990000,2860,20.0,10.7686,14.6507,8.07561,3.4615,8.1226,0,0,0,0,0,0
0,22990000,2625,18.0,3.83962,1.56838,6.28261,5.5715,10.2326,0,0,0,0,0,0
0,22990000,2626,18.0,3.49809,1.73681,6.19919,3.9592,8.6203,0,0,0,0,0,0
0,22990000,767,6.0,11.3381,13.9207,8.58243,-4.3088,0.3522,0,0,0,0,0,0
0,22990000,2859,20.0,11.1259,14.7705,8.00419,8.431,13.0921,0,0,0,0,0,0
0,22990000,1213,9.0,1.4159,2.69222,6.12857,0.1939,4.855,0,0,0,0,0,0
0,22990000,7296,49.0,10.6946,4.79804,14.1658,16.6488,21.3098,0,0,0,0,0,0
0,22990000,205,2.0,5.68012,9.71186,1.041,-0.5564,4.1047,0,0,0,0,0,0
0,22990000,2663,18.0,15.5955,6.57635,4.43448,2.9739,7.6349,0,0,0,0,0,0
0,22990000,2637,18.0,0.414725,1.4189,4.52487,1.2858,5.9469,0,0,0,0,0,0
0,22990000,197,2.0,3.5582,10.3366,0.854186,6.0866,10.7477,0,0,0,0,0,0
0,22990000,781,6.0,8.70589,13.4581,7.13755,3.9336,8.5947,0,0,0,0,0,0
0,22990000,2662,18.0,15.2621,6.6271,4.24615,7.097,11.758,0,0,0,0,0,0
0,22990000,1159,8.0,0.584825,3.12235,4.60719,3.6008,8.2619,0,0,0,0,0,0
0,22990000,1163,8.0,15.6581,4.01524,4.90529,-6.4506,-1.7895,0,0,0,0,0,0
0,22990000,1162,8.0,15.9104,3.72048,4.89444,-4.2083,0.4528,0,0,0,0,0,0
0,22990000,1165,8.0,15.5573,4.59673,5.2055,-0.9778,3.6832,0,0,0,0,0,0
