step,t,atom_id,mol_id,x,y,z,ent,p2,q6
1050,10500000,3192,22.0,0.0241899999999999,3.842415,6.226669,-5.064,-0.1401,0.05516863
1050,10500000,3640,25.0,2.076076,2.073365,5.435729,-5.12,0.2269,0.07497454
1050,10500000,3641,25.0,2.453666,2.204925,5.498399,-5.228,0.4463,0.0641417
1050,10500000,3642,25.0,2.710826,2.103805,5.217188999999999,-5.208,0.4743,0.06519198
1050,10500000,3643,25.0,3.096426,2.200315,5.289849,-5.224,0.4119,0.07447129
1050,10500000,1841,13.0,0.058394,0.0451829999999999,4.031899,-4.871,0.1817,0.07854432
1050,10500000,3186,22.0,0.8879060000000001,3.167565,7.168429,-5.028,0.0407,0.04948256
1050,10500000,3634,25.0,0.562165,1.3166950000000002,5.718449,-4.963,0.1368,0.04661181
1050,10500000,3187,22.0,0.931966,3.517695,7.336259,-4.96,0.0798,0.04655725
1050,10500000,3635,25.0,0.894026,1.4669949999999998,5.608579,-4.917,0.1547,0.05420333
1050,10500000,3188,22.0,0.6327689999999999,3.753105,7.267749,-4.983,-0.0468,0.05542198
1050,10500000,3636,25.0,1.202516,1.392105,5.849399,-4.953,0.1547,0.06090807
1050,10500000,3189,22.0,0.492203,3.746715,6.902709,-5.017,-0.0979,0.05001964
1050,10500000,879,6.0,3.115086,3.359005,7.644409,-5.232,0.3598,0.05264788
1050,10500000,3183,22.0,1.393376,2.304485,7.229709,-5.036,0.0948,0.0660679
1050,10500000,880,6.0,3.133296,3.747435,7.668559,-5.28,-0.1139,0.04943692
1050,10500000,3632,25.0,0.3083539999999999,1.228405,5.093269,-4.9,-0.1181,0.05395379
1050,10500000,3184,22.0,1.125216,2.547035,7.096299,-4.998,0.045,0.06324808
1050,10500000,881,6.0,2.944086,3.904495,7.979409,-5.292,-0.1265,0.07480563
1050,10500000,3185,22.0,1.145096,2.891845,7.281129,-5.087,0.0155,0.06347006
1050,10500000,3633,25.0,0.295808,1.390335,5.441369,-4.899,-0.2134,0.05429139
1050,10500000,1301,9.0,3.030106,2.005235,7.468478999999999,-4.97,0.0678,0.07996003
1050,10500000,854,6.0,2.671946,0.690148,7.026439,-4.967,0.1072,0.10698643
1050,10500000,2646,18.0,2.954836,3.220335,4.723879,-5.09,0.5447,0.06819525
1050,10500000,1302,9.0,2.644016,1.946045,7.451459,-4.931,0.0765,0.07271385
1050,10500000,4566,31.0,2.110886,1.833205,4.306179,-5.067,0.2677,0.08707091
1050,10500000,7446,50.0,2.525486,0.8269049999999999,5.694889,-5.082,0.0656,0.08409542
1050,10500000,7447,50.0,2.820496,1.049795,5.556079,-5.222,0.3446,0.07278402
1050,10500000,855,6.0,2.532316,0.446117,7.298159,-4.957,0.1167,0.10426613
1050,10500000,6474,44.0,0.01316,1.109425,11.670499,-5.131,0.1049,0.07571002
1050,10500000,650,5.0,1.501116,2.977185,11.223399,-4.987,0.3024,0.07104492
1050,10500000,4938,33.0,2.317896,0.1781629999999999,10.602999,-5.225,0.2139,0.07661523
1050,10500000,651,5.0,1.369696,3.249885,10.950399,-4.973,0.2581,0.07464694
1050,10500000,652,5.0,1.627826,3.540945,10.918499,-4.921,0.2349,0.07604959
1050,10500000,653,5.0,1.501466,3.877185,10.773399,-4.939,-0.0027,0.0794078
1050,10500000,654,5.0,1.313766,3.806565,10.431899,-4.989,0.048,0.0774392
1050,10500000,655,5.0,1.545586,3.633445,10.152399,-5.025,0.0498,0.09188144
1050,10500000,645,5.0,0.8671960000000001,1.747815,11.793399,-5.127,-0.1027,0.05398505
1050,10500000,6533,44.0,1.989736,2.368555,8.253919,-5.127,0.1146,0.05947643
1050,10500000,646,5.0,0.904256,2.130815,11.783899,-5.089,0.3644,0.04590576
1050,10500000,6534,44.0,2.025216,2.727215,8.087279,-5.118,0.092,0.05140994
1050,10500000,647,5.0,0.7615959999999999,2.333765,11.498999,-5.151,0.3543,0.05194065
1050,10500000,648,5.0,0.953286,2.681245,11.445299,-5.12,-0.0762,0.05853322
1050,10500000,649,5.0,1.295866,2.648685,11.263699,-5.123,-0.0651,0.07085798
1050,10500000,4937,33.0,2.384096,0.065747,10.222299,-5.112,0.1591,0.08418572
1050,10500000,640,5.0,1.041556,0.456149,10.834999,-5.186,0.0427,0.07058511
1050,10500000,6528,44.0,0.7943260000000001,2.781295,9.006299,-5.045,-0.1724,0.11402041
1050,10500000,641,5.0,0.954926,0.637356,11.181099,-5.252,-0.0327,0.08254645
1050,10500000,6529,44.0,1.187256,2.819005,8.987199,-5.044,-0.0972,0.11427818
1050,10500000,643,5.0,0.960886,1.1958350000000002,11.496799,-5.219,-0.1095,0.0729361
1050,10500000,6531,44.0,1.770796,2.630555,8.808089,-5.099,-0.126,0.0977509
1050,10500000,644,5.0,1.003746,1.582875,11.474199,-5.171,-0.1113,0.05735227
1050,10500000,6532,44.0,2.009626,2.376335,8.648549,-5.151,-0.208,0.07329582
1050,10500000,3167,22.0,3.880136,0.942495,7.215219,-5.052,0.0672,0.08804211
1050,10500000,2655,18.0,0.3993669999999999,2.142755,4.840939,-4.935,0.1445,0.07156855
1050,10500000,1311,9.0,0.568603,2.465745,5.932219,-4.975,0.0793,0.05658594
1050,10500000,2656,18.0,0.0642749999999999,2.293105,4.955839,-4.925,0.1155,0.05977074
1050,10500000,6496,44.0,0.030405,2.613225,6.702749,-4.923,0.0496,0.05303023
1050,10500000,3168,22.0,3.877006,0.659357,7.494699,-5.037,-0.025,0.08602424
1050,10500000,1312,9.0,0.534742,2.867115,5.953419,-4.967,-0.0482,0.05711847
1050,10500000,1313,9.0,0.8349360000000001,3.0618950000000003,5.814979,-4.869,-0.0465,0.05825876
1050,10500000,1245,9.0,2.252766,0.8419150000000001,9.491659,-5.013,0.0262,0.08494014
1050,10500000,670,5.0,2.433136,0.804785,11.920899,-5.176,-0.2024,0.05673571
1050,10500000,606,5.0,0.950796,3.941835,11.680899,-5.067,0.0246,0.05338275
1050,10500000,1246,9.0,2.107716,0.488271,9.382189,-4.899,0.0675,0.09912723
1050,10500000,671,5.0,2.771266,0.618351,11.835899,-5.1,-0.2271,0.06008729
1050,10500000,1247,9.0,1.926236,0.4598799999999999,9.044429,-4.934,0.0498,0.07728828
1050,10500000,864,6.0,3.437076,0.2677969999999999,9.488289,-4.89,0.2075,0.09158845
1050,10500000,1248,9.0,1.767326,0.1175499999999999,8.942539,-4.83,0.0597,0.07863073
1050,10500000,665,5.0,1.853376,1.316465,10.844399,-5.093,-0.0358,0.06758245
1050,10500000,666,5.0,1.951486,0.957465,10.983499,-5.121,-0.0839,0.05606848
1050,10500000,1242,9.0,2.705386,1.238245,10.262099,-4.962,-0.0545,0.09920436
1050,10500000,1243,9.0,2.572036,1.239035,9.903099,-4.924,-0.0384,0.10397571
1050,10500000,667,5.0,2.000066,0.932295,11.378599,-5.175,-0.0652,0.0556813
1050,10500000,1244,9.0,2.455956,0.8663949999999999,9.831399,-4.97,0.0161,0.09047569
1050,10500000,668,5.0,1.984816,0.579494,11.528999,-5.217,-0.1087,0.06592671
1050,10500000,669,5.0,2.107466,0.587687,11.903099,-5.134,0.0688,0.06741998
1050,10500000,661,5.0,1.312696,2.090745,9.997699,-5.016,0.2663,0.11306992
1050,10500000,1238,9.0,3.226566,1.8568450000000003,11.252399,-4.906,-0.0082,0.05858712
1050,10500000,662,5.0,1.409766,1.7142749999999998,10.057999,-4.929,-0.059,0.10913619
1050,10500000,1239,9.0,3.136236,1.896015,10.880099,-4.89,-0.0082,0.06948911
1050,10500000,663,5.0,1.612986,1.711255,10.390499,-4.987,-0.0763,0.07648004
1050,10500000,664,5.0,1.794776,1.3747349999999998,10.462799,-5.039,-0.0447,0.09188325
1050,10500000,1240,9.0,2.885626,1.609365,10.753799,-4.895,-0.0231,0.07589479
1050,10500000,1241,9.0,2.803346,1.604085,10.387799,-4.954,-0.125,0.08409997
1050,10500000,3179,22.0,1.671606,1.2686449999999998,7.943749,-4.998,0.0234,0.05217881
1050,10500000,3180,22.0,1.3822560000000002,1.445785,7.759748999999999,-4.956,0.2627,0.05222538
1050,10500000,877,6.0,3.288676,2.757725,7.892158999999999,-5.01,0.3282,0.06533195
1050,10500000,3181,22.0,1.489876,1.7734650000000003,7.575889,-5.049,0.1854,0.06430427
1050,10500000,3630,25.0,0.062309,0.7688149999999999,4.669359,-4.923,0.248,0.06256221
1050,10500000,878,6.0,3.235406,3.1393150000000003,7.936769,-5.125,0.3309,0.04712067
1050,10500000,3182,22.0,1.230536,1.981995,7.397108999999999,-5.052,0.1089,0.07803367
1050,10500000,3631,25.0,0.188931,0.854585,5.035269,-4.863,-0.1012,0.04311089
1050,10500000,1190,8.0,3.203466,3.039495,9.336779,-5.098,-0.2636,0.05984318
1050,10500000,3174,22.0,3.037466,1.007745,8.312649,-4.937,-0.1217,0.08042594
1050,10500000,1254,9.0,0.5261089999999999,1.1041150000000002,8.401159,-4.969,0.2834,0.06315591
1050,10500000,870,6.0,3.684076,1.939015,9.725479,-5.026,0.0581,0.08079132
1050,10500000,2535,17.0,3.711976,3.847215,10.757099,-4.966,0.3454,0.12441885
1050,10500000,1255,9.0,0.574292,1.480435,8.339559,-4.918,0.3116,0.06917737
1050,10500000,1191,8.0,2.811766,3.090825,9.277029,-5.177,-0.109,0.064261
1050,10500000,871,6.0,3.497736,2.102195,9.420869,-4.966,-0.0301,0.06544881
1050,10500000,1252,9.0,0.7902560000000001,0.511333,8.294058999999999,-4.807,0.2888,0.06180032
1050,10500000,3172,22.0,3.647286,0.838545,8.412069,-4.911,-0.2267,0.0848002
1050,10500000,1189,8.0,3.426016,3.371735,9.373619,-5.149,0.4276,0.05058002
1050,10500000,2533,17.0,3.791516,3.724975,11.389899,-4.819,0.2395,0.06624076
1050,10500000,1253,9.0,0.853556,0.902835,8.306099,-4.834,0.2722,0.06226393
1050,10500000,869,6.0,3.726986,1.5554450000000002,9.641079,-5.039,0.1369,0.08662619
1050,10500000,3173,22.0,3.294336,0.869085,8.566379,-4.899,-0.1109,0.07331059
1050,10500000,2534,17.0,3.543626,3.742715000000001,11.088099,-4.882,0.3061,0.10462305
1050,10500000,675,5.0,3.557136,0.8339850000000001,11.083399,-4.932,-0.0589,0.04626323
1050,10500000,867,6.0,3.799636,0.979425,9.945099,-5.001,0.2392,0.07929496
1050,10500000,1251,9.0,1.106096,0.289224,8.269679,-4.811,0.0183,0.06108837
1050,10500000,3171,22.0,3.764506,0.480564,8.258499,-4.891,-0.198,0.07762812
1050,10500000,1188,8.0,3.339286,3.650675,9.116329,-5.204,0.4235,0.06392815
1050,10500000,676,5.0,3.901466,0.928595,11.216499,-4.978,0.0068,0.05455859
1050,10500000,868,6.0,3.797286,1.371045,9.967899,-5.069,0.1313,0.08064376
1050,10500000,2532,17.0,3.631616,3.709175,11.743799,-4.752,0.0974,0.06478881
1050,10500000,3644,25.0,3.316446,2.090635,4.980289,-5.261,0.4338,0.07432734
1050,10500000,3197,22.0,0.2565949999999999,3.636575,5.018168999999999,-4.924,0.1054,0.07719944
1050,10500000,3645,25.0,3.707756,2.094025,4.994179,-5.134,0.4186,0.08558793
1050,10500000,3198,22.0,0.3576539999999999,3.483915,4.666659,-4.838,0.0392,0.07128918
1050,10500000,3646,25.0,3.885796,2.000565,4.668858999999999,-5.218,0.4349,0.07485754
1050,10500000,3199,22.0,0.7388460000000001,3.403085,4.589869,-4.817,0.0842,0.06504594
1050,10500000,6530,44.0,1.383096,2.553415,8.763109,-4.984,-0.1234,0.10468475
1050,10500000,642,5.0,0.983896,1.026745,11.152199,-5.233,-0.046,0.07308615
1050,10500000,1264,9.0,0.427291,3.663275,8.777239,-4.923,-0.0096,0.09103658
1050,10500000,1265,9.0,0.2982229999999999,3.752075000000001,9.140199,-4.974,0.0395,0.09451756
1050,10500000,1266,9.0,0.527874,3.969745000000001,9.359079,-4.918,-0.0923,0.09499708
1050,10500000,3122,21.0,0.1250029999999999,3.888185,10.298699,-5.013,0.0512,0.06479856
1050,10500000,3123,21.0,0.2803809999999999,3.612045,10.526399,-5.097,0.1135,0.06788175
1050,10500000,3124,21.0,0.25469,3.269765,10.332199,-5.106,0.1372,0.07160601
1050,10500000,3125,21.0,0.467266,2.9668650000000003,10.484899,-5.167,0.158,0.05878227
1050,10500000,3126,21.0,0.4008799999999999,2.6511750000000003,10.258099,-5.108,0.2236,0.08776852
1050,10500000,1260,9.0,0.0471079999999999,2.772435,8.128819,-4.88,-0.121,0.05884148
1050,10500000,1197,8.0,2.492926,2.602135,11.103499,-4.958,0.1413,0.08521566
1050,10500000,1261,9.0,0.076067,3.137635,7.996708999999999,-4.912,-0.073,0.05424111
1050,10500000,1198,8.0,2.401526,2.665975,11.483399,-5.006,0.1164,0.08499365
1050,10500000,1262,9.0,0.312312,3.354645,8.221099,-4.966,-0.06,0.05689353
1050,10500000,1199,8.0,2.331666,2.343995,11.687899,-5.005,0.0725,0.07832026
1050,10500000,1263,9.0,0.176639,3.445335,8.565459,-4.95,-0.0387,0.06865244
1050,10500000,1200,8.0,2.153926,2.0551850000000003,11.449899,-4.941,-0.5,0.06903776
1050,10500000,3177,22.0,2.056186,1.199315,8.460699,-4.905,-0.0569,0.08051773
1050,10500000,1194,8.0,2.548486,3.090625,10.208399,-5.06,0.1777,0.09589184
1050,10500000,874,6.0,3.278416,2.2153650000000003,8.733219,-5.107,0.1376,0.07081266
1050,10500000,3178,22.0,1.756436,1.3975650000000002,8.295199,-4.987,0.0545,0.06318758
1050,10500000,1195,8.0,2.568786,2.792405,10.478099,-5.036,0.2255,0.07805295
1050,10500000,875,6.0,3.125676,2.403635,8.430519,-5.041,0.1607,0.06132245
1050,10500000,1196,8.0,2.501096,2.898215,10.852099,-4.944,0.1417,0.08404764
1050,10500000,876,6.0,3.406716,2.563755,8.214079,-5.074,0.1688,0.05450567
1050,10500000,656,5.0,1.358366,3.5211550000000003,9.820799,-4.975,0.082,0.08951115
1050,10500000,657,5.0,1.594516,3.2819350000000003,9.617329,-4.999,0.0223,0.10221155
1050,10500000,658,5.0,1.7306160000000002,2.982355,9.845899,-5.115,0.1737,0.10500359
1050,10500000,1298,9.0,3.766586,1.661905,8.052559,-4.96,-0.0102,0.06554973
1050,10500000,659,5.0,1.457396,2.702595,9.853199,-5.082,0.2361,0.10633644
1050,10500000,1236,9.0,3.366366,2.2408550000000003,11.789399,-4.912,0.0205,0.07262578
1050,10500000,660,5.0,1.593176,2.361375,10.009599,-5.079,0.2142,0.10904009
1050,10500000,1237,9.0,3.454566,2.132115,11.423799,-4.856,-0.0142,0.06705661
1050,10500000,1863,13.0,1.596066,2.947255,15.526999,-4.966,0.1156,0.06465457
1050,10500000,1864,13.0,1.611926,2.784345,15.171299,-4.932,-0.0319,0.07959422
1050,10500000,3592,24.0,3.833426,3.308435,15.933699,-5.056,0.1848,0.07516607
1050,10500000,6472,44.0,0.0781089999999999,0.648647,12.118999,-5.047,0.0253,0.09140393
1050,10500000,5065,34.0,3.518216,0.587704,15.856899,-5.334,-0.0211,0.06617179
1050,10500000,1865,13.0,1.610626,2.391445,15.151599,-4.973,0.1857,0.0786989
1050,10500000,3593,24.0,3.691066,3.597645,15.715099,-4.955,0.1831,0.07182446
1050,10500000,3594,24.0,3.570306,3.470415,15.351899,-4.979,0.1185,0.0651608
1050,10500000,6467,44.0,0.606045,0.592176,13.335199,-4.99,-0.0118,0.07721517
1050,10500000,6464,44.0,0.2518379999999999,1.359725,13.869299,-4.916,0.0458,0.07124024
1050,10500000,6465,44.0,0.490018,1.1256050000000002,13.663299,-5.009,-0.0027,0.07476184
