step,t,atom_id,mol,x,y,z,ent,p2,q2,q4,q6,q8,q10,v,nfaces,h,ent_category,S_band1,S_band2,S_band3,S_band4,S_band5,S_band6
3600,36000000,7691,52,10.457946,14.170891,11.203991,-5.721,-0.0702,0.0222906577083862,0.147700081517746,0.154289458173788,0.0727089698730346,0.0788709252721438,0.411906,14,2.70631428571429,0,-5.17025,-5.0034,-5.52414285714286,-5.66026923076923,-5.28645,-5.86887692307692
3600,36000000,7692,52,10.668046,14.431491,11.412691,-5.657,0.1812,0.0398585867098549,0.131815525312819,0.149439493004333,0.0694166908531587,0.0686925328438471,0.486325,16,2.440253125,0,-5.24025,-4.73171428571429,-5.64488888888889,-5.47065384615385,-5.78641666666667,-5.85326865671642
3600,36000000,7693,52,10.423646,14.706191,11.552591,-5.849,0.1945,0.0469972066407373,0.132678277077145,0.149066161936609,0.0635475867516686,0.0568828357918308,0.466394,18,2.66146176470588,1,-4.7168,-4.63,-5.31515384615385,-5.703625,-5.46920689655172,-6.27508196721312
3600,36000000,7694,52,10.562446,14.966291,11.817491,-5.948,0.2889,0.0538075242100026,0.126558574109514,0.157971002608728,0.0565934724612215,0.0644058344053358,0.548395,17,2.9857125,1,-4.7085,-5.072,-5.6514375,-5.18194117647059,-6.11694736842105,-6.28561016949152
3600,36000000,7695,52,10.251946,15.201591,11.898791,-6.032,0.377,0.0538762659107048,0.137986972157965,0.171404848780838,0.0593656625208382,0.0566248160232573,0.504254,16,2.5656046875,1,-4.88166666666667,-4.5325,-5.9405,-5.43403333333333,-5.70951428571429,-6.58953731343284
3600,36000000,7696,52,10.364346,15.530791,12.085291,-6.062,0.2028,0.0477051108088048,0.133970627485845,0.176920287079316,0.067082202438964,0.0665842217100746,0.389805,13,2.37039824561404,1,-4.65966666666667,-5.40233333333333,-5.68373333333333,-5.47106451612903,-5.92993617021277,-6.46798333333333
3600,36000000,7697,52,10.059346,0.051454,12.269791,-6.157,0.2961,0.0498508474799824,0.135050793304322,0.173412718511202,0.0688506594385551,0.0608775492535523,0.536005,17,0.017744827586207,1,-4.945,-5.287,-5.98966666666667,-6.22514285714286,-6.476,-6.53683076923077
3600,36000000,7698,52,9.793746,0.164498,12.012291,-6.515,0.2261,0.0403127042359914,0.146564135712232,0.188508921247666,0.0720266486134803,0.0635843608467202,0.405637,15,-0.547,1,-5.67966666666667,-5.66957142857143,-6.48757142857143,-6.73575862068966,-6.66868888888889,-6.66070149253731
3600,36000000,7699,52,9.458726,0.280799,12.200391,-6.548,0.3705,0.0439833654220058,0.17729097127199,0.198204238752463,0.0765908938673783,0.0637063270042906,0.441084,16,-0.813218181818182,1,-5.50925,-6.7635,-6.36933333333333,-6.06172413793104,-7.3271,-7.1420253164557
3600,36000000,7700,52,9.528066,0.575331,12.442191,-6.741,0.4583,0.0345670620479839,0.173820803705373,0.208937422886498,0.0725812738431206,0.0726376219060204,0.472228,16,-1.24401428571429,1,-5.907,-5.6295,-6.49525,-6.20345833333333,-7.42107547169811,-6.97805882352941
