step,t,atom_id,mol,x,y,z,ent,p2,q2,q4,q6,q8,q10,v,nfaces,h,ent_category,S_i,S_band1,S_band2,S_band3,S_band4,S_band5,S_band6,Cluster_Label
1580,15800000,39,1,15.060098,13.492767,9.587118,-5.309,0.4219,0.0359674390563984,0.104609467809475,0.071718907388762,0.0318156722516711,0.0402879994792654,0.480548,15,-0.837566153846154,0,-6.083,-4.5515,-5.36025,-5.10488461538462,-5.71553846153846,-5.4485,-5.55924324324324,0
1580,15800000,40,1,15.077398,13.245567,9.290848,-5.286,0.0587,0.0387978377724666,0.0822087911051978,0.0810682665868856,0.0321780051463805,0.0465712171292367,0.488846,16,-0.736539393939394,0,-3.644,-6.0885,-4.45,-4.93474074074074,-5.49292307692308,-5.36542105263158,-5.31874626865672,0
1580,15800000,41,1,15.264798,13.352567,8.949798,-5.396,0.0199,0.0302236824589815,0.0662581249249376,0.0756829787248839,0.0317442357171945,0.0436569281857463,0.345135,16,-0.899971212121212,0,-4.47,-5.584,-3.6565,-4.96495652173913,-5.45829166666667,-5.49639024390244,-5.82183076923077,0
1580,15800000,42,1,15.253998,13.093067,8.651018,-5.309,0.0165,0.0260633151170335,0.0510869486158021,0.0554532368622745,0.0304151707000709,0.0482440562059048,0.459912,16,-1.214434375,0,-7.447,-4.00925,-4.44016666666667,-4.78632,-5.15075,-5.49948780487805,-5.69881818181818,0
1580,15800000,43,1,15.433398,13.235467,8.330948,-5.313,-0.0686,0.0196851328841605,0.0392346211149132,0.0517696938194557,0.0258018705849419,0.0448729197370446,0.457898,18,-0.192954411764706,0,-5.162,-4.71833333333333,-4.0798,-4.8212962962963,-5.55990476190476,-5.3596511627907,-5.82959420289855,0
1580,15800000,44,1,15.286998,13.562867,8.209418,-5.505,-0.1074,0.0165098528932847,0.0622685555493105,0.0740667821704827,0.0337772009911872,0.0451468370340731,0.383481,16,-0.991148571428571,0,-2.761,-4.53266666666667,-4.6938,-4.76935,-5.4760303030303,-5.89847727272727,-5.60308474576271,0
1580,15800000,45,1,15.454998,13.695167,7.882628,-5.516,-0.2199,0.0253261410856223,0.06953074149803,0.0614704698219725,0.0311060938713578,0.0459696148961532,0.37713,15,0.119873611111111,0,-2.238,-3.94533333333333,-4.76688888888889,-5.00582352941176,-5.8625,-5.56747826086956,-5.65724590163934,0
1580,15800000,46,1,15.821798,13.853467,7.894858,-5.406,-0.0243,0.0343816630093835,0.0674018050252209,0.0605484802933289,0.0371844876876575,0.0465858062551555,0.528657,15,0.392528358208955,0,-3.913,-3.19833333333333,-4.0348,-5.2763,-5.41666666666667,-5.7628,-5.7166862745098,0
1580,15800000,47,1,0.007194,14.011967,7.548838,-5.434,0.0642,0.0360211967895618,0.0700263600496096,0.0857549315347821,0.0373884081000044,0.0456431363819751,0.430607,14,1.67450806451613,0,-4.596,-3.81966666666667,-3.9908,-5.8178125,-5.192,-5.4263,-5.32292537313433,0
1580,15800000,48,1,0.170147,13.774867,7.295188,-5.333,-0.0561,0.0289190940615415,0.0950406549830735,0.0779027141717293,0.0332383724212908,0.0510441546146376,0.419892,14,1.0981131147541,0,-3.13,-4.743,-4.2718,-5.52876470588235,-5.62048148148148,-4.87925,-5.57135087719298,0
1580,15800000,49,1,0.195153,13.888967,6.923478,-5.34,0.002,0.0224132477062326,0.0920968620559329,0.071708119618269,0.0384298508211879,0.0450488758652458,0.430661,16,1.05790769230769,0,-4.416,-4.537,-3.7718,-6.034375,-5.33948387096774,-5.25143243243243,-5.429546875,0
