step,t,atom_id,mol_id,x,y,z,S,xlo,xhi,ylo,yhi,zlo,zhi,S_ave_0.4to0.8,S_ave_0.8to1.1,S_ave_1.1to1.5,S_ave_1.5to1.9,S_ave_1.9to2.3,S_ave_2.3to2.7
1,23000000,39,1.0,2.02206,13.2061,13.105,-3.742,0.0,0.0,0.0,0.0,0.0,0.0,-3.6775,-5.560428571428572,-4.971888888888889,-5.505657142857143,-5.2887894736842105,-4.924838709677419
1,23000000,40,1.0,1.79941,12.9016,13.2063,-3.215,0.0,0.0,0.0,0.0,0.0,0.0,-4.225750000000001,-4.8445,-5.7345500000000005,-5.437172413793102,-5.203095238095239,-5.2461714285714285
1,23000000,41,1.0,1.45626,12.8954,13.0292,-4.055,0.0,0.0,0.0,0.0,0.0,0.0,-4.447,-5.20225,-5.739961538461539,-5.060142857142858,-5.489951219512196,-5.246818181818182
1,23000000,42,1.0,1.29966,12.5579,13.1177,-5.873,0.0,0.0,0.0,0.0,0.0,0.0,-4.37125,-6.079166666666667,-5.195,-5.49748148148148,-5.526630434782609,-5.076597014925373
1,23000000,43,1.0,1.01072,12.4686,12.8692,-4.958,0.0,0.0,0.0,0.0,0.0,0.0,-5.415,-4.9857499999999995,-5.7967692307692325,-5.016370370370371,-5.355309523809524,-5.363888888888891
1,23000000,44,1.0,0.873769,12.1126,12.8855,-5.257,0.0,0.0,0.0,0.0,0.0,0.0,-5.552249999999999,-5.751428571428571,-5.208565217391305,-5.4719999999999995,-5.393063829787234,-5.336224137931035
1,23000000,45,1.0,0.583572,12.063,12.6282,-6.475,0.0,0.0,0.0,0.0,0.0,0.0,-5.093249999999999,-5.294333333333334,-5.35116,-5.55241935483871,-5.331727272727272,-5.399026666666667
1,23000000,46,1.0,0.469077,11.6979,12.5741,-4.903,0.0,0.0,0.0,0.0,0.0,0.0,-5.255,-5.444857142857143,-4.9061875,-5.65027027027027,-5.291588235294117,-5.413378378378378
1,23000000,47,1.0,16.0486,11.6189,12.2482,-5.255,0.0,0.0,0.0,0.0,0.0,0.0,-5.06875,-4.5658,-5.50615,-5.1786206896551725,-5.729744186046512,-5.4429384615384615
1,23000000,48,1.0,15.9494,11.2532,12.2943,-4.033,0.0,0.0,0.0,0.0,0.0,0.0,-4.803,-5.9148,-5.192349999999999,-5.1224,-5.5314999999999985,-5.443444444444444
1,23000000,49,1.0,15.7334,11.1169,12.0011,-4.864,0.0,0.0,0.0,0.0,0.0,0.0,-5.522,-4.794333333333333,-5.344941176470589,-5.174058823529412,-5.6016153846153856,-5.352417910447762
1,23000000,50,1.0,15.3788,11.2639,11.9262,-4.19,0.0,0.0,0.0,0.0,0.0,0.0,-6.289000000000001,-4.937166666666666,-5.046590909090909,-5.196428571428572,-5.390756097560975,-5.679279411764705
